Temperatura,TDS,PH,Turbidez,Hora
NaN,NaN,NaN, 90.60,16:28:44
NaN,NaN,NaN,NaN,16:28:48
NaN,NaN,NaN,NaN,16:28:52
NaN,NaN,NaN, 89.23,16:28:56
NaN,NaN,NaN,NaN,16:29:00
NaN,NaN,NaN,NaN,16:29:04
NaN,NaN,NaN, 88.55,16:29:08
NaN,NaN,NaN,NaN,16:29:12
NaN,NaN,NaN,NaN,16:29:16
NaN,NaN,NaN, 87.89,16:29:20
NaN,NaN,NaN,NaN,16:29:24
NaN,NaN,NaN,NaN,16:29:28
NaN,NaN,NaN, 87.52,16:29:32
NaN,NaN,NaN,NaN,16:29:36
NaN,NaN,NaN,NaN,16:29:40
NaN,NaN,NaN, 87.08,16:29:44
NaN,NaN,NaN,NaN,16:29:48
NaN,NaN,NaN,NaN,16:29:52
NaN,NaN,NaN, 87.79,16:29:56
NaN,NaN,NaN,NaN,16:30:00
NaN,NaN,NaN,NaN,16:30:04
NaN,NaN,NaN, 87.91,16:30:08
NaN,NaN,NaN,NaN,16:30:12
NaN,NaN,NaN,NaN,16:30:16
NaN,NaN,NaN, 89.91,16:30:20
NaN,NaN,NaN,NaN,16:30:24
NaN,NaN,NaN,NaN,16:30:28
